Order,Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2,0.005431604,0.041504798,0.039475808,0.009783105,0.000446663,0.00372502,0.00396965,0.004104065,0.023553528,0.005206407,0.027792654,0.019396663,0.007173791,0.01317537,0.023889478,0.024565426,0.006395073,0.007244473,7.641351984,7.267799346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2,0.058664599,0.339645901,0.173588087,0.127188271,1.292254373,1.349159497,1.349159497,0.008579736,0.583342746,0.063835425,0.036705693,0.085061375,0.721622022,0.017303654,0.393879048,0.128303805,0.038867173,0.01112752,5.789622818,2.958992134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,0.004248486,0.136698384,0.065412098,0.021937631,0.88360597,0.026410106,0.027411684,0.004056653,0.010486898,0.004150234,0.027937093,0.138437888,0.139610273,0.01392266,0.046450543,0.049600839,0.009745924,0.008609157,32.1757878,15.39656668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2,0.004056653,0.362014398,0.058677799,0.01102848,0.062723831,0.008113637,0.008113637,0.004056653,0.114195525,0.004056653,0.032031137,0.030669449,0.158315584,0.012639939,0.080126889,0.090489045,0.006714449,0.005984098,89.23967566,14.46458423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2,0.025883081,2.396829054,0.184172514,0.015003246,0.085115638,0.023361094,0.023361094,0.004219537,1.290857266,0.023592834,0.038448857,0.181733353,0.085319738,0.013474604,0.04297637,0.02578932,0.007683426,0.007693757,92.60215405,7.115556065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2,0.011787118,2.534979622,0.124106994,0.022469555,0.332814767,0.032842702,0.032842702,0.004424771,2.900857035,0.008101359,0.032005728,0.077516727,0.103720489,0.013289982,0.115588008,0.027000798,0.008820084,0.006506865,215.0635653,10.52903636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2,0.005928198,0.427963038,0.025096291,0.008692394,0.047674328,0.025569278,0.025569278,0.011890404,0.021625323,0.006621977,0.028288346,0.018514173,0.045098836,0.012813896,0.037318584,0.0296307,0.006453574,0.006020517,72.1910837,4.233375977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,0.006026859,0.14129391,0.073193617,0.035622517,0.302271951,0.057625187,0.057715952,0.004056653,0.15992512,0.004521078,0.029029169,0.094327092,0.301819969,0.012618203,0.046173952,0.030640954,0.01451582,0.009899215,23.44403776,12.14457099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,0.022829985,2.203485354,0.042804993,0.014763646,0.347097613,0.192388494,0.192388494,0.013171804,0.087343034,0.021234367,0.03591055,0.052586581,0.151109296,0.013472039,0.035304975,0.030372251,0.008654089,0.006805257,96.51716171,1.874946173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2,0.052282173,1.095396306,0.056309385,0.007948773,0.500942608,0.150647517,0.150647517,0.01527189,0.491527009,0.045910949,0.034263054,0.124431105,0.182544404,0.014418493,0.040783442,0.02666129,0.006236789,0.006014409,20.95162162,1.077028397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
